County,Census,Estimates Base,Today,,,,,
Chesterfield,"46,734","46,722",45650,,,".Chesterfield County, South Carolina",,,
Clarendon,"34,971","34,949",33745,,,".Clarendon County, South Carolina",,,
Colleton,"38,892","38,887",37677,,,".Colleton County, South Carolina",,,
Darlington,"68,681","68,611",66618,,,".Darlington County, South Carolina",,,
Dillon,"32,062","32,059",30479,,,".Dillon County, South Carolina",,,
Dorchester,"136,555","136,144",162809,,,".Dorchester County, South Carolina",,,
Edgefield,"26,985","26,965",27260,,,".Edgefield County, South Carolina",,,
Fairfield,"23,956","23,959",22347,,,".Fairfield County, South Carolina",,,
Florence,"136,885","136,965",138293,,,".Florence County, South Carolina",,,
Georgetown,"60,158","60,311",62680,,,".Georgetown County, South Carolina",,,
Greenville,"451,225","451,211",523542,,,".Greenville County, South Carolina",,,
Greenwood,"69,661","69,691",70811,,,".Greenwood County, South Carolina",,,
Hampton,"21,090","21,090",19222,,,".Hampton County, South Carolina",,,
Horry,"269,291","269,146",354081,,,".Horry County, South Carolina",,,
Jasper,"24,777","24,791",30073,,,".Jasper County, South Carolina",,,
Kershaw,"61,697","61,594",66551,,,".Kershaw County, South Carolina",,,
Lancaster,"76,652","76,651",98012,,,".Lancaster County, South Carolina",,,
Laurens,"66,537","66,513",67493,,,".Laurens County, South Carolina",,,
Lee,"19,220","19,226",16828,,,".Lee County, South Carolina",,,
Lexington,"262,391","262,453",298750,,,".Lexington County, South Carolina",,,
McCormick,"10,233","10,229",9463,,,".McCormick County, South Carolina",,,
Marion,"33,062","33,058",30657,,,".Marion County, South Carolina",,,
Marlboro,"28,933","28,935",26118,,,".Marlboro County, South Carolina",,,
Newberry,"37,508","37,510",38440,,,".Newberry County, South Carolina",,,
Oconee,"74,273","74,285",79546,,,".Oconee County, South Carolina",,,
Orangeburg,"92,501","92,508",86175,,,".Orangeburg County, South Carolina",,,
Pickens,"119,224","119,385",126884,,,".Pickens County, South Carolina",,,
Richland,"384,504","384,425",415759,,,".Richland County, South Carolina",,,
Saluda,"19,875","19,860",20473,,,".Saluda County, South Carolina",,,
Spartanburg,"284,307","284,304",319785,,,".Spartanburg County, South Carolina",,,
Sumter,"107,456","107,485",106721,,,".Sumter County, South Carolina",,,
Union,"28,961","28,973",27316,,,".Union County, South Carolina",,,
Williamsburg,"34,423","34,410",30368,,,".Williamsburg County, South Carolina",,,
York,"226,073","226,037",280979,,,".York County, South Carolina",,,
Aurora,"2,710","2,710",2751,,,".Aurora County, South Dakota",,,
Beadle,"17,398","17,399",18453,,,".Beadle County, South Dakota",,,
Bennett,"3,431","3,431",3365,,,".Bennett County, South Dakota",,,
Bon Homme,"7,070","7,067",6901,,,".Bon Homme County, South Dakota",,,
Brookings,"31,965","31,966",35077,,,".Brookings County, South Dakota",,,
Brown,"36,531","36,532",38839,,,".Brown County, South Dakota",,,
Brule,"5,255","5,255",5297,,,".Brule County, South Dakota",,,
Buffalo,"1,912","1,913",1962,,,".Buffalo County, South Dakota",,,
Butte,"10,110","10,112",10429,,,".Butte County, South Dakota",,,
Campbell,"1,466","1,466",1376,,,".Campbell County, South Dakota",,,
Charles Mix,"9,129","9,131",9292,,,".Charles Mix County, South Dakota",,,
Clark,"3,691","3,691",3736,,,".Clark County, South Dakota",,,
Clay,"13,864","13,866",14070,,,".Clay County, South Dakota",,,
Codington,"27,227","27,225",28009,,,".Codington County, South Dakota",,,
Corson,"4,050","4,040",4086,,,".Corson County, South Dakota",,,
Custer,"8,216","8,218",8972,,,".Custer County, South Dakota",,,
Davison,"19,504","19,504",19775,,,".Davison County, South Dakota",,,
Day,"5,710","5,710",5424,,,".Day County, South Dakota",,,
Deuel,"4,364","4,364",4351,,,".Deuel County, South Dakota",,,
Dewey,"5,301","5,301",5892,,,".Dewey County, South Dakota",,,
Douglas,"3,002","3,000",2921,,,".Douglas County, South Dakota",,,
Edmunds,"4,071","4,071",3829,,,".Edmunds County, South Dakota",,,
Fall River,"7,094","7,094",6713,,,".Fall River County, South Dakota",,,
Faulk,"2,364","2,364",2299,,,".Faulk County, South Dakota",,,
Grant,"7,356","7,358",7052,,,".Grant County, South Dakota",,,
Gregory,"4,271","4,271",4185,,,".Gregory County, South Dakota",,,
Haakon,"1,937","1,937",1899,,,".Haakon County, South Dakota",,,
Hamlin,"5,903","5,899",6164,,,".Hamlin County, South Dakota",,,
Hand,"3,431","3,430",3191,,,".Hand County, South Dakota",,,
Hanson,"3,331","3,332",3453,,,".Hanson County, South Dakota",,,
Harding,"1,255","1,255",1298,,,".Harding County, South Dakota",,,
Hughes,"17,022","17,022",17526,,,".Hughes County, South Dakota",,,
Hutchinson,"7,343","7,343",7291,,,".Hutchinson County, South Dakota",,,
Hyde,"1,420","1,420",1301,,,".Hyde County, South Dakota",,,
Jackson,"3,031","3,030",3344,,,".Jackson County, South Dakota",,,
Jerauld,"2,071","2,071",2013,,,".Jerauld County, South Dakota",,,
Jones,"1,006","1,006",903,,,".Jones County, South Dakota",,,
Kingsbury,"5,148","5,147",4939,,,".Kingsbury County, South Dakota",,,
Lake,"11,200","11,202",12797,,,".Lake County, South Dakota",,,
Lawrence,"24,097","24,090",25844,,,".Lawrence County, South Dakota",,,
Lincoln,"44,828","44,823",61128,,,".Lincoln County, South Dakota",,,
Lyman,"3,755","3,755",3781,,,".Lyman County, South Dakota",,,
McCook,"5,618","5,618",5586,,,".McCook County, South Dakota",,,
McPherson,"2,459","2,459",2379,,,".McPherson County, South Dakota",,,
Marshall,"4,656","4,656",4935,,,".Marshall County, South Dakota",,,
Meade,"25,434","25,440",28332,,,".Meade County, South Dakota",,,
Mellette,"2,048","2,043",2061,,,".Mellette County, South Dakota",,,
Miner,"2,389","2,389",2216,,,".Miner County, South Dakota",,,
Minnehaha,"169,468","169,474",193134,,,".Minnehaha County, South Dakota",,,
Moody,"6,486","6,493",6576,,,".Moody County, South Dakota",,,
Oglala Lakota,"13,586","13,586",14177,,,".Oglala Lakota County, South Dakota",,,
Pennington,"100,948","100,960",113775,,,".Pennington County, South Dakota",,,
Perkins,"2,982","2,991",2865,,,".Perkins County, South Dakota",,,
Potter,"2,329","2,334",2153,,,".Potter County, South Dakota",,,
Roberts,"10,149","10,147",10394,,,".Roberts County, South Dakota",,,
Sanborn,"2,355","2,355",2344,,,".Sanborn County, South Dakota",,,
Spink,"6,415","6,415",6376,,,".Spink County, South Dakota",,,
Stanley,"2,966","2,966",3098,,,".Stanley County, South Dakota",,,
Sully,"1,373","1,368",1391,,,".Sully County, South Dakota",,,
Todd,"9,612","9,610",10177,,,".Todd County, South Dakota",,,
Tripp,"5,644","5,649",5441,,,".Tripp County, South Dakota",,,
Turner,"8,347","8,349",8384,,,".Turner County, South Dakota",,,
Union,"14,399","14,398",15932,,,".Union County, South Dakota",,,
Walworth,"5,438","5,438",5435,,,".Walworth County, South Dakota",,,
Yankton,"22,438","22,438",22814,,,".Yankton County, South Dakota",,,
Ziebach,"2,801","2,801",2756,,,".Ziebach County, South Dakota",,,
Anderson,"75,129","75,082",76978,,,".Anderson County, Tennessee",,,
Bedford,"45,058","45,057",49713,,,".Bedford County, Tennessee",,,
Benton,"16,489","16,491",16160,,,".Benton County, Tennessee",,,
Bledsoe,"12,876","12,874",15064,,,".Bledsoe County, Tennessee",,,
Blount,"123,010","123,098",133088,,,".Blount County, Tennessee",,,
Bradley,"98,963","98,926",108110,,,".Bradley County, Tennessee",,,
Campbell,"40,716","40,723",39842,,,".Campbell County, Tennessee",,,
Cannon,"13,801","13,813",14678,,,".Cannon County, Tennessee",,,
Carroll,"28,522","28,486",27767,,,".Carroll County, Tennessee",,,
Carter,"57,424","57,383",56391,,,".Carter County, Tennessee",,,
Cheatham,"39,105","39,110",40667,,,".Cheatham County, Tennessee",,,
Chester,"17,131","17,145",17297,,,".Chester County, Tennessee",,,
Claiborne,"32,213","32,212",31959,,,".Claiborne County, Tennessee",,,
Clay,"7,861","7,853",7615,,,".Clay County, Tennessee",,,
Cocke,"35,662","35,642",36004,,,".Cocke County, Tennessee",,,
Coffee,"52,796","52,803",56520,,,".Coffee County, Tennessee",,,
Crockett,"14,586","14,576",14230,,,".Crockett County, Tennessee",,,
Cumberland,"56,053","56,060",60520,,,".Cumberland County, Tennessee",,,
Davidson,"626,681","626,558",694144,,,".Davidson County, Tennessee",,,
Decatur,"11,757","11,750",11663,,,".Decatur County, Tennessee",,,
DeKalb,"18,723","18,722",20490,,,".DeKalb County, Tennessee",,,
Dickson,"49,666","49,650",53948,,,".Dickson County, Tennessee",,,
Dyer,"38,335","38,330",37159,,,".Dyer County, Tennessee",,,
Fayette,"38,413","38,439",41133,,,".Fayette County, Tennessee",,,
Fentress,"17,959","17,962",18523,,,".Fentress County, Tennessee",,,
Franklin,"41,052","41,064",42208,,,".Franklin County, Tennessee",,,
Gibson,"49,683","49,687",49133,,,".Gibson County, Tennessee",,,
Giles,"29,485","29,476",29464,,,".Giles County, Tennessee",,,
Grainger,"22,657","22,656",23320,,,".Grainger County, Tennessee",,,
Greene,"68,831","68,825",69069,,,".Greene County, Tennessee",,,
Grundy,"13,703","13,726",13427,,,".Grundy County, Tennessee",,,
Hamblen,"62,544","62,534",64934,,,".Hamblen County, Tennessee",,,
Hamilton,"336,463","336,477",367804,,,".Hamilton County, Tennessee",,,
Hancock,"6,819","6,811",6620,,,".Hancock County, Tennessee",,,
Hardeman,"27,253","27,245",25050,,,".Hardeman County, Tennessee",,,
Hardin,"26,026","26,008",25652,,,".Hardin County, Tennessee",,,
Hawkins,"56,833","56,826",56786,,,".Hawkins County, Tennessee",,,
Haywood,"18,787","18,807",17304,,,".Haywood County, Tennessee",,,
Henderson,"27,769","27,780",28117,,,".Henderson County, Tennessee",,,
Henry,"32,330","32,349",32345,,,".Henry County, Tennessee",,,
Hickman,"24,690","24,690",25178,,,".Hickman County, Tennessee",,,
Houston,"8,426","8,429",8201,,,".Houston County, Tennessee",,,
Humphreys,"18,538","18,535",18582,,,".Humphreys County, Tennessee",,,
Jackson,"11,638","11,634",11786,,,".Jackson County, Tennessee",,,
Jefferson,"51,407","51,668",54495,,,".Jefferson County, Tennessee",,,
Johnson,"18,244","18,240",17788,,,".Johnson County, Tennessee",,,
Knox,"432,226","432,260",470313,,,".Knox County, Tennessee",,,
Lake,"7,832","7,832",7016,,,".Lake County, Tennessee",,,
Lauderdale,"27,815","27,822",25633,,,".Lauderdale County, Tennessee",,,
Lawrence,"41,869","41,856",44142,,,".Lawrence County, Tennessee",,,
Lewis,"12,161","12,170",12268,,,".Lewis County, Tennessee",,,
Lincoln,"33,361","33,354",34366,,,".Lincoln County, Tennessee",,,
Loudon,"48,556","48,561",54068,,,".Loudon County, Tennessee",,,
McMinn,"52,266","52,287",53794,,,".McMinn County, Tennessee",,,
McNairy,"26,075","26,082",25694,,,".McNairy County, Tennessee",,,
Macon,"22,248","22,226",24602,,,".Macon County, Tennessee",,,
Madison,"98,294","98,303",97984,,,".Madison County, Tennessee",,,
Marion,"28,237","28,222",28907,,,".Marion County, Tennessee",,,
Marshall,"30,617","30,611",34375,,,".Marshall County, Tennessee",,,
Maury,"80,956","80,932",96387,,,".Maury County, Tennessee",,,
Meigs,"11,753","11,766",12422,,,".Meigs County, Tennessee",,,
Monroe,"44,519","44,498",46545,,,".Monroe County, Tennessee",,,
Montgomery,"172,331","172,362",208993,,,".Montgomery County, Tennessee",,,
Moore,"6,362","6,342",6488,,,".Moore County, Tennessee",,,
Morgan,"21,987","21,986",21403,,,".Morgan County, Tennessee",,,
Obion,"31,807","31,807",30069,,,".Obion County, Tennessee",,,
Overton,"22,083","22,082",22241,,,".Overton County, Tennessee",,,
Perry,"7,915","7,930",8076,,,".Perry County, Tennessee",,,
Pickett,"5,077","5,086",5048,,,".Pickett County, Tennessee",,,
Polk,"16,825","16,821",16832,,,".Polk County, Tennessee",,,
Putnam,"72,321","72,339",80245,,,".Putnam County, Tennessee",,,
Rhea,"31,809","31,804",33167,,,".Rhea County, Tennessee",,,
Roane,"54,181","54,208",53382,,,".Roane County, Tennessee",,,
Robertson,"66,283","66,319",71813,,,".Robertson County, Tennessee",,,
Rutherford,"262,604","262,588",332285,,,".Rutherford County, Tennessee",,,
Scott,"22,228","22,232",22068,,,".Scott County, Tennessee",,,
Sequatchie,"14,112","14,121",15026,,,".Sequatchie County, Tennessee",,,
Sevier,"89,889","89,720",98250,,,".Sevier County, Tennessee",,,
Shelby,"927,644","927,682",937166,,,".Shelby County, Tennessee",,,
Smith,"19,166","19,150",20157,,,".Smith County, Tennessee",,,
Stewart,"13,324","13,313",13715,,,".Stewart County, Tennessee",,,
Sullivan,"156,823","156,800",158348,,,".Sullivan County, Tennessee",,,
Sumner,"160,645","160,634",191283,,,".Sumner County, Tennessee",,,
Tipton,"61,081","61,006",61599,,,".Tipton County, Tennessee",,,
Trousdale,"7,870","7,864",11284,,,".Trousdale County, Tennessee",,,
Unicoi,"18,313","18,311",17883,,,".Unicoi County, Tennessee",,,
Union,"19,109","19,107",19972,,,".Union County, Tennessee",,,
Van Buren,"5,548","5,558",5872,,,".Van Buren County, Tennessee",,,
Warren,"39,839","39,824",41277,,,".Warren County, Tennessee",,,
Washington,"122,979","123,063",129375,,,".Washington County, Tennessee",,,
Wayne,"17,021","17,025",16673,,,".Wayne County, Tennessee",,,
Weakley,"35,021","35,015",33328,,,".Weakley County, Tennessee",,,
White,"25,841","25,844",27345,,,".White County, Tennessee",,,
Williamson,"183,182","183,277",238412,,,".Williamson County, Tennessee",,,
Wilson,"113,993","114,062",144657,,,".Wilson County, Tennessee",,,
Anderson,"58,458","58,452",57735,,,".Anderson County, Texas",,,
Andrews,"14,786","14,786",18705,,,".Andrews County, Texas",,,
Angelina,"86,771","86,771",86715,,,".Angelina County, Texas",,,
Aransas,"23,158","23,158",23510,,,".Aransas County, Texas",,,
Archer,"9,054","9,061",8553,,,".Archer County, Texas",,,
Armstrong,"1,901","1,901",1887,,,".Armstrong County, Texas",,,
Atascosa,"44,911","44,923",51153,,,".Atascosa County, Texas",,,
Austin,"28,417","28,412",30032,,,".Austin County, Texas",,,
Bailey,"7,165","7,165",7000,,,".Bailey County, Texas",,,
Bandera,"20,485","20,487",23112,,,".Bandera County, Texas",,,
Bastrop,"74,171","74,217",88723,,,".Bastrop County, Texas",,,
Baylor,"3,726","3,726",3509,,,".Baylor County, Texas",,,
Bee,"31,861","31,861",32565,,,".Bee County, Texas",,,
Bell,"310,235","310,159",362924,,,".Bell County, Texas",,,
Bexar,"1,714,773","1,714,781",2003554,,,".Bexar County, Texas",,,
Blanco,"10,497","10,483",11931,,,".Blanco County, Texas",,,
Borden,641,641,654,,,".Borden County, Texas",,,
Bosque,"18,212","18,217",18685,,,".Bosque County, Texas",,,
Bowie,"92,565","92,564",93245,,,".Bowie County, Texas",,,
Brazoria,"313,166","313,117",374264,,,".Brazoria County, Texas",,,
Brazos,"194,851","194,861",229211,,,".Brazos County, Texas",,,
Brewster,"9,232","9,232",9203,,,".Brewster County, Texas",,,
Briscoe,"1,637","1,637",1546,,,".Briscoe County, Texas",,,
Brooks,"7,223","7,223",7093,,,".Brooks County, Texas",,,
Brown,"38,106","38,106",37864,,,".Brown County, Texas",,,
Burleson,"17,187","17,187",18443,,,".Burleson County, Texas",,,
Burnet,"42,750","42,711",48155,,,".Burnet County, Texas",,,
Caldwell,"38,066","38,055",43664,,,".Caldwell County, Texas",,,
Calhoun,"21,381","21,382",21290,,,".Calhoun County, Texas",,,
Callahan,"13,544","13,545",13943,,,".Callahan County, Texas",,,
Cameron,"406,220","406,215",423163,,,".Cameron County, Texas",,,
Camp,"12,401","12,401",13094,,,".Camp County, Texas",,,
Carson,"6,182","6,184",5926,,,".Carson County, Texas",,,
Cass,"30,464","30,469",30026,,,".Cass County, Texas",,,
Castro,"8,062","8,063",7530,,,".Castro County, Texas",,,
Chambers,"35,096","35,107",43837,,,".Chambers County, Texas",,,
Cherokee,"50,845","50,834",52646,,,".Cherokee County, Texas",,,
Childress,"7,041","7,041",7306,,,".Childress County, Texas",,,
Clay,"10,752","10,754",10471,,,".Clay County, Texas",,,
Cochran,"3,127","3,127",2853,,,".Cochran County, Texas",,,
Coke,"3,320","3,317",3387,,,".Coke County, Texas",,,
Coleman,"8,895","8,893",8175,,,".Coleman County, Texas",,,
Collin,"782,341","781,419",1034730,,,".Collin County, Texas",,,
Collingsworth,"3,057","3,057",2920,,,".Collingsworth County, Texas",,,
Colorado,"20,874","20,872",21493,,,".Colorado County, Texas",,,
Comal,"108,472","108,520",156209,,,".Comal County, Texas",,,
Comanche,"13,974","13,960",13635,,,".Comanche County, Texas",,,
Concho,"4,087","4,087",2726,,,".Concho County, Texas",,,
Cooke,"38,437","38,436",41257,,,".Cooke County, Texas",,,
Coryell,"75,388","75,474",75951,,,".Coryell County, Texas",,,
Cottle,"1,505","1,506",1398,,,".Cottle County, Texas",,,
Crane,"4,375","4,375",4797,,,".Crane County, Texas",,,
Crockett,"3,719","3,719",3464,,,".Crockett County, Texas",,,
Crosby,"6,059","6,056",5737,,,".Crosby County, Texas",,,
Culberson,"2,398","2,398",2171,,,".Culberson County, Texas",,,
Dallam,"6,703","6,700",7287,,,".Dallam County, Texas",,,
Dallas,"2,368,139","2,367,430",2635516,,,".Dallas County, Texas",,,
Dawson,"13,833","13,833",12728,,,".Dawson County, Texas",,,
Deaf Smith,"19,372","19,372",18546,,,".Deaf Smith County, Texas",,,
Delta,"5,231","5,232",5331,,,".Delta County, Texas",,,
Denton,"662,614","662,557",887207,,,".Denton County, Texas",,,
DeWitt,"20,097","20,097",20160,,,".DeWitt County, Texas",,,
Dickens,"2,444","2,441",2211,,,".Dickens County, Texas",,,
Dimmit,"9,996","9,996",10124,,,".Dimmit County, Texas",,,
Donley,"3,677","3,726",3278,,,".Donley County, Texas",,,
Duval,"11,782","11,777",11157,,,".Duval County, Texas",,,
Eastland,"18,583","18,582",18360,,,".Eastland County, Texas",,,
Ector,"137,130","137,136",166223,,,".Ector County, Texas",,,
Edwards,"2,002","2,002",1932,,,".Edwards County, Texas",,,
Ellis,"149,610","149,610",184826,,,".Ellis County, Texas",,,
El Paso,"800,647","800,633",839238,,,".El Paso County, Texas",,,
Erath,"37,890","37,895",42698,,,".Erath County, Texas",,,
Falls,"17,866","17,863",17297,,,".Falls County, Texas",,,
Fannin,"33,915","33,910",35514,,,".Fannin County, Texas",,,
Fayette,"24,554","24,552",25346,,,".Fayette County, Texas",,,
Fisher,"3,974","3,978",3830,,,".Fisher County, Texas",,,
Floyd,"6,446","6,446",5712,,,".Floyd County, Texas",,,
Foard,"1,336","1,336",1155,,,".Foard County, Texas",,,
Fort Bend,"585,375","584,699",811688,,,".Fort Bend County, Texas",,,
Franklin,"10,605","10,601",10725,,,".Franklin County, Texas",,,
Freestone,"19,816","19,817",19717,,,".Freestone County, Texas",,,
Frio,"17,217","17,217",20306,,,".Frio County, Texas",,,
Gaines,"17,526","17,526",21492,,,".Gaines County, Texas",,,
Galveston,"291,309","291,312",342139,,,".Galveston County, Texas",,,
Garza,"6,461","6,461",6229,,,".Garza County, Texas",,,
Gillespie,"24,837","24,828",26988,,,".Gillespie County, Texas",,,
Glasscock,"1,226","1,226",1409,,,".Glasscock County, Texas",,,
Goliad,"7,210","7,210",7658,,,".Goliad County, Texas",,,
Gonzales,"19,807","19,811",20837,,,".Gonzales County, Texas",,,
Gray,"22,535","22,537",21886,,,".Gray County, Texas",,,
Grayson,"120,877","120,877",136212,,,".Grayson County, Texas",,,
Gregg,"121,730","121,747",123945,,,".Gregg County, Texas",,,
Grimes,"26,604","26,581",28880,,,".Grimes County, Texas",,,
Guadalupe,"131,533","131,527",166847,,,".Guadalupe County, Texas",,,
Hale,"36,273","36,206",33406,,,".Hale County, Texas",,,
Hall,"3,353","3,353",2964,,,".Hall County, Texas",,,
Hamilton,"8,517","8,512",8461,,,".Hamilton County, Texas",,,
Hansford,"5,613","5,613",5399,,,".Hansford County, Texas",,,
Hardeman,"4,139","4,139",3933,,,".Hardeman County, Texas",,,
Hardin,"54,635","54,635",57602,,,".Hardin County, Texas",,,
Harris,"4,092,459","4,093,176",4713325,,,".Harris County, Texas",,,
Harrison,"65,631","65,640",66553,,,".Harrison County, Texas",,,
Hartley,"6,062","6,062",5576,,,".Hartley County, Texas",,,
Haskell,"5,899","5,902",5658,,,".Haskell County, Texas",,,
Hays,"157,107","157,103",230191,,,".Hays County, Texas",,,
Hemphill,"3,807","3,807",3819,,,".Hemphill County, Texas",,,
Henderson,"78,532","78,578",82737,,,".Henderson County, Texas",,,
Hidalgo,"774,769","774,764",868707,,,".Hidalgo County, Texas",,,
Hill,"35,089","35,088",36649,,,".Hill County, Texas",,,
Hockley,"22,935","22,927",23021,,,".Hockley County, Texas",,,
Hood,"51,182","51,163",61643,,,".Hood County, Texas",,,
Hopkins,"35,161","35,163",37084,,,".Hopkins County, Texas",,,
Houston,"23,732","23,731",22968,,,".Houston County, Texas",,,
Howard,"35,012","35,012",36664,,,".Howard County, Texas",,,
Hudspeth,"3,476","3,476",4886,,,".Hudspeth County, Texas",,,
Hunt,"86,129","86,144",98594,,,".Hunt County, Texas",,,
Hutchinson,"22,150","22,251",20938,,,".Hutchinson County, Texas",,,
Irion,"1,599","1,597",1536,,,".Irion County, Texas",,,
Jack,"9,044","9,041",8935,,,".Jack County, Texas",,,
Jackson,"14,075","14,075",14760,,,".Jackson County, Texas",,,
Jasper,"35,710","35,710",35529,,,".Jasper County, Texas",,,
Jeff Davis,"2,342","2,342",2274,,,".Jeff Davis County, Texas",,,
Jefferson,"252,273","252,277",251565,,,".Jefferson County, Texas",,,
Jim Hogg,"5,300","5,300",5200,,,".Jim Hogg County, Texas",,,
Jim Wells,"40,838","40,843",40482,,,".Jim Wells County, Texas",,,
Johnson,"150,934","150,956",175817,,,".Johnson County, Texas",,,
Jones,"20,202","20,192",20083,,,".Jones County, Texas",,,
Karnes,"14,824","14,828",15601,,,".Karnes County, Texas",,,
Kaufman,"103,350","103,348",136154,,,".Kaufman County, Texas",,,
Kendall,"33,410","33,384",47431,,,".Kendall County, Texas",,,
Kenedy,416,413,404,,,".Kenedy County, Texas",,,
Kent,808,808,762,,,".Kent County, Texas",,,
Kerr,"49,625","49,644",52600,,,".Kerr County, Texas",,,
Kimble,"4,607","4,605",4337,,,".Kimble County, Texas",,,
King,286,285,272,,,".King County, Texas",,,
Kinney,"3,598","3,598",3667,,,".Kinney County, Texas",,,
Kleberg,"32,061","32,061",30680,,,".Kleberg County, Texas",,,
Knox,"3,719","3,719",3664,,,".Knox County, Texas",,,
Lamar,"49,793","49,791",49859,,,".Lamar County, Texas",,,
Lamb,"13,977","13,976",12893,,,".Lamb County, Texas",,,
Lampasas,"19,677","19,675",21428,,,".Lampasas County, Texas",,,
La Salle,"6,886","6,886",7520,,,".La Salle County, Texas",,,
Lavaca,"19,263","19,264",20154,,,".Lavaca County, Texas",,,
Lee,"16,612","16,609",17239,,,".Lee County, Texas",,,
Leon,"16,801","16,798",17404,,,".Leon County, Texas",,,
Liberty,"75,643","75,643",88219,,,".Liberty County, Texas",,,
Limestone,"23,384","23,388",23437,,,".Limestone County, Texas",,,
Lipscomb,"3,302","3,302",3233,,,".Lipscomb County, Texas",,,
Live Oak,"11,531","11,533",12207,,,".Live Oak County, Texas",,,
Llano,"19,301","19,303",21795,,,".Llano County, Texas",,,
Loving,82,82,169,,,".Loving County, Texas",,,
Lubbock,"278,831","278,918",310569,,,".Lubbock County, Texas",,,
Lynn,"5,915","5,915",5951,,,".Lynn County, Texas",,,
McCulloch,"8,283","8,284",7984,,,".McCulloch County, Texas",,,
McLennan,"234,906","234,903",256623,,,".McLennan County, Texas",,,
McMullen,707,707,743,,,".McMullen County, Texas",,,
Madison,"13,664","13,670",14284,,,".Madison County, Texas",,,
Marion,"10,546","10,535",9854,,,".Marion County, Texas",,,
Martin,"4,799","4,799",5771,,,".Martin County, Texas",,,
Mason,"4,012","4,013",4274,,,".Mason County, Texas",,,
Matagorda,"36,702","36,702",36643,,,".Matagorda County, Texas",,,
Maverick,"54,258","54,258",58722,,,".Maverick County, Texas",,,
Medina,"46,006","45,993",51584,,,".Medina County, Texas",,,
Menard,"2,242","2,242",2138,,,".Menard County, Texas",,,
Midland,"136,872","136,872",176832,,,".Midland County, Texas",,,
Milam,"24,757","24,759",24823,,,".Milam County, Texas",,,
Mills,"4,936","4,941",4873,,,".Mills County, Texas",,,
Mitchell,"9,403","9,403",8545,,,".Mitchell County, Texas",,,
Montague,"19,719","19,720",19818,,,".Montague County, Texas",,,
Montgomery,"455,746","455,747",607391,,,".Montgomery County, Texas",,,
Moore,"21,904","21,904",20940,,,".Moore County, Texas",,,
Morris,"12,934","12,934",12388,,,".Morris County, Texas",,,
Motley,"1,210","1,205",1200,,,".Motley County, Texas",,,
Nacogdoches,"64,524","64,524",65204,,,".Nacogdoches County, Texas",,,
Navarro,"47,735","47,840",50113,,,".Navarro County, Texas",,,
Newton,"14,445","14,445",13595,,,".Newton County, Texas",,,
Nolan,"15,216","15,213",14714,,,".Nolan County, Texas",,,
Nueces,"340,223","340,223",362294,,,".Nueces County, Texas",,,
Ochiltree,"10,223","10,223",9836,,,".Ochiltree County, Texas",,,
Oldham,"2,052","2,052",2112,,,".Oldham County, Texas",,,
Orange,"81,837","81,837",83396,,,".Orange County, Texas",,,
Palo Pinto,"28,111","28,132",29189,,,".Palo Pinto County, Texas",,,
Panola,"23,796","23,796",23194,,,".Panola County, Texas",,,
Parker,"116,927","116,949",142878,,,".Parker County, Texas",,,
Parmer,"10,269","10,269",9605,,,".Parmer County, Texas",,,
Pecos,"15,507","15,507",15823,,,".Pecos County, Texas",,,
Polk,"45,413","45,415",51353,,,".Polk County, Texas",,,
Potter,"121,073","121,078",117415,,,".Potter County, Texas",,,
Presidio,"7,818","7,817",6704,,,".Presidio County, Texas",,,
Rains,"10,914","10,916",12514,,,".Rains County, Texas",,,
Randall,"120,725","120,720",137713,,,".Randall County, Texas",,,
Reagan,"3,367","3,367",3849,,,".Reagan County, Texas",,,
Real,"3,309","3,309",3452,,,".Real County, Texas",,,
Red River,"12,860","12,862",12023,,,".Red River County, Texas",,,
Reeves,"13,783","13,783",15976,,,".Reeves County, Texas",,,
Refugio,"7,383","7,383",6948,,,".Refugio County, Texas",,,
Roberts,929,929,854,,,".Roberts County, Texas",,,
Robertson,"16,622","16,620",17074,,,".Robertson County, Texas",,,
Rockwall,"78,337","78,345",104915,,,".Rockwall County, Texas",,,
Runnels,"10,501","10,502",10264,,,".Runnels County, Texas",,,
Rusk,"53,330","53,309",54406,,,".Rusk County, Texas",,,
Sabine,"10,834","10,836",10542,,,".Sabine County, Texas",,,
San Augustine,"8,865","8,861",8237,,,".San Augustine County, Texas",,,
San Jacinto,"26,384","26,378",28859,,,".San Jacinto County, Texas",,,
San Patricio,"64,804","64,802",66730,,,".San Patricio County, Texas",,,
San Saba,"6,131","6,130",6055,,,".San Saba County, Texas",,,
Schleicher,"3,461","3,461",2793,,,".Schleicher County, Texas",,,
Scurry,"16,921","16,919",16703,,,".Scurry County, Texas",,,
Shackelford,"3,378","3,376",3265,,,".Shackelford County, Texas",,,
Shelby,"25,448","25,448",25274,,,".Shelby County, Texas",,,
Sherman,"3,034","3,034",3022,,,".Sherman County, Texas",,,
Smith,"209,714","209,725",232751,,,".Smith County, Texas",,,
Somervell,"8,490","8,491",9128,,,".Somervell County, Texas",,,
Starr,"60,968","60,967",64633,,,".Starr County, Texas",,,
Stephens,"9,630","9,634",9366,,,".Stephens County, Texas",,,
Sterling,"1,143","1,143",1291,,,".Sterling County, Texas",,,
Stonewall,"1,490","1,490",1350,,,".Stonewall County, Texas",,,
Sutton,"4,128","4,128",3776,,,".Sutton County, Texas",,,
