County,Census,Estimates Base,Today,,,,,
Ouachita,"26,120","26,128",23382,,,".Ouachita County, Arkansas",,,
Perry,"10,445","10,444",10455,,,".Perry County, Arkansas",,,
Phillips,"21,757","21,755",17782,,,".Phillips County, Arkansas",,,
Pike,"11,291","11,287",10718,,,".Pike County, Arkansas",,,
Poinsett,"24,583","24,576",23528,,,".Poinsett County, Arkansas",,,
Polk,"20,662","20,654",19964,,,".Polk County, Arkansas",,,
Pope,"61,754","61,753",64072,,,".Pope County, Arkansas",,,
Prairie,"8,715","8,716",8062,,,".Prairie County, Arkansas",,,
Pulaski,"382,748","382,749",391911,,,".Pulaski County, Arkansas",,,
Randolph,"17,969","17,969",17958,,,".Randolph County, Arkansas",,,
St. Francis,"28,258","28,253",24994,,,".St. Francis County, Arkansas",,,
Saline,"107,118","107,135",122437,,,".Saline County, Arkansas",,,
Scott,"11,233","11,241",10281,,,".Scott County, Arkansas",,,
Searcy,"8,195","8,195",7881,,,".Searcy County, Arkansas",,,
Sebastian,"125,744","125,740",127827,,,".Sebastian County, Arkansas",,,
Sevier,"17,058","17,059",17007,,,".Sevier County, Arkansas",,,
Sharp,"17,264","17,263",17442,,,".Sharp County, Arkansas",,,
Stone,"12,394","12,394",12506,,,".Stone County, Arkansas",,,
Union,"41,639","41,639",38682,,,".Union County, Arkansas",,,
Van Buren,"17,295","17,296",16545,,,".Van Buren County, Arkansas",,,
Washington,"203,065","203,050",239187,,,".Washington County, Arkansas",,,
White,"77,076","77,086",78753,,,".White County, Arkansas",,,
Woodruff,"7,260","7,264",6320,,,".Woodruff County, Arkansas",,,
Yell,"22,185","22,183",21341,,,".Yell County, Arkansas",,,
Alameda,"1,510,271","1,510,258",1671329,,,".Alameda County, California",,,
Alpine,"1,175","1,175",1129,,,".Alpine County, California",,,
Amador,"38,091","38,091",39752,,,".Amador County, California",,,
Butte,"220,000","220,005",219186,,,".Butte County, California",,,
Calaveras,"45,578","45,578",45905,,,".Calaveras County, California",,,
